icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
QXU,RTK,Aug-24,current_actuals,E.B.35,Numerator,130.5,E.B.35Numerator
QXU,RTK,Aug-24,current_actuals,E.B.35,Percentage,86.71096345514951,E.B.35Percentage
QNQ,QNQ,Aug-24,current_actuals,E.B.35,Denominator,309,E.B.35Denominator
QNQ,QNQ,Aug-24,current_actuals,E.B.35,Numerator,228,E.B.35Numerator
QNQ,QNQ,Aug-24,current_actuals,E.B.35,Percentage,73.7864077669903,E.B.35Percentage
QKS,RN7,Aug-24,current_actuals,E.B.35,Denominator,96,E.B.35Denominator
QKS,RN7,Aug-24,current_actuals,E.B.35,Numerator,67,E.B.35Numerator
QKS,RN7,Aug-24,current_actuals,E.B.35,Percentage,69.79166666666666,E.B.35Percentage
QNX,RYR,Aug-24,current_actuals,E.B.35,Denominator,523,E.B.35Denominator
QNX,RYR,Aug-24,current_actuals,E.B.35,Numerator,314.5,E.B.35Numerator
QNX,RYR,Aug-24,current_actuals,E.B.35,Percentage,60.133843212237096,E.B.35Percentage
QXU,QXU,Aug-24,current_actuals,E.B.35,Denominator,541,E.B.35Denominator
QXU,QXU,Aug-24,current_actuals,E.B.35,Numerator,434,E.B.35Numerator
QXU,QXU,Aug-24,current_actuals,E.B.35,Percentage,80.22181146025879,E.B.35Percentage
QKS,QKS,Aug-24,current_actuals,E.B.35,Denominator,897,E.B.35Denominator
QKS,QKS,Aug-24,current_actuals,E.B.35,Numerator,672,E.B.35Numerator
QKS,QKS,Aug-24,current_actuals,E.B.35,Percentage,74.91638795986621,E.B.35Percentage
QRL,QRL,Jul-24,current_actuals,E.B.35,Denominator,1025,E.B.35Denominator
QRL,QRL,Jul-24,current_actuals,E.B.35,Numerator,726,E.B.35Numerator
QRL,QRL,Jul-24,current_actuals,E.B.35,Percentage,70.82926829268293,E.B.35Percentage
QRL,RHM,Jul-24,current_actuals,E.B.35,Denominator,271,E.B.35Denominator
QRL,RHM,Jul-24,current_actuals,E.B.35,Numerator,202,E.B.35Numerator
QRL,RHM,Jul-24,current_actuals,E.B.35,Percentage,74.53874538745387,E.B.35Percentage
QNX,RPC,Jul-24,current_actuals,E.B.35,Denominator,74.5,E.B.35Denominator
QNX,RPC,Jul-24,current_actuals,E.B.35,Numerator,54.5,E.B.35Numerator
QNX,RPC,Jul-24,current_actuals,E.B.35,Percentage,73.15436241610739,E.B.35Percentage
QKS,RPA,Jul-24,current_actuals,E.B.35,Denominator,161,E.B.35Denominator
QKS,RPA,Jul-24,current_actuals,E.B.35,Numerator,120.5,E.B.35Numerator
QKS,RPA,Jul-24,current_actuals,E.B.35,Percentage,74.84472049689441,E.B.35Percentage
QKS,RWF,Jul-24,current_actuals,E.B.35,Denominator,207,E.B.35Denominator
QKS,RWF,Jul-24,current_actuals,E.B.35,Numerator,176.5,E.B.35Numerator
